region,parameter,rule_type,context_name,low_threshold,high_threshold,months,hours,message_low,message_high
tropical,soil_moisture,point,,10,60,,,"Permanent wilting point risk","Anaerobic conditions, root rot"
tropical,soil_moisture,contextual,monsoon,15,55,"6,7,8,9",,"Abnormally low for monsoon season","Abnormally high for monsoon season"
tropical,soil_moisture,contextual,pre-monsoon,8,35,"3,4,5",,"Abnormally low for hot pre-monsoon","Abnormally high for hot pre-monsoon"
tropical,soil_moisture,contextual,post-monsoon,18,50,"10,11",,"Abnormally low for post-monsoon/harvest","Abnormally high for post-monsoon/harvest"
tropical,soil_moisture,contextual,dry_season,12,45,"12,1,2",,"Abnormally low for dry season","Abnormally high for dry season"
tropical,soil_temperature,point,,20,45,,,"Reduced microbial activity, delayed germination","Root damage, enzyme denaturation"
tropical,soil_temperature,contextual,monsoon,22,38,"6,7,8,9",,"Anomalously cool for monsoon season","Anomalously warm for monsoon season"
tropical,soil_temperature,contextual,hot_dry_season,28,42,"3,4,5",,"Anomalously cool for hot/dry season","Anomalously warm for hot/dry season"
tropical,soil_temperature,contextual,night_temps,18,32,,"20,21,22,23,0,1,2,3,4,5","Night temperature too low, affecting respiration","Night temperature too high, affecting respiration"
tropical,ph,point,,4,8.5,,,"Severe aluminum toxicity","Severe nutrient lockup"
tropical,ph,contextual,monsoon_leaching,4.5,7.5,"6,7,8,9",,"pH too low due to monsoon leaching","pH too high for monsoon season"
tropical,ph,contextual,dry_season_concentration,5,8,"12,1,2",,"pH too low for dry season","pH too high due to dry season concentration"
tropical,ec,point,,0.3,4,,,"Severe nutrient deficiency","Severe salinity stress"
tropical,ec,contextual,post_monsoon,0.4,3.5,"10,11",,"EC too low for post-monsoon","EC too high due to post-monsoon concentration"
tropical,n,point,,15,120,,,"Critical nitrogen deficiency","Luxury consumption, lodging risk"
tropical,n,contextual,post_monsoon,20,80,"10,11",,"Nitrogen low due to leaching","Nitrogen unusually high for post-monsoon"
tropical,n,contextual,dry_season,25,100,"12,1,2",,"Nitrogen low due to reduced mineralization","Nitrogen unusually high for dry season"
tropical,p,point,,10,100,,,"Critical phosphorus deficiency","Environmental runoff risk"
tropical,p,contextual,high_temp_periods,25,90,"3,4,5",,"Phosphorus availability reduced by heat","Phosphorus level abnormal for high temp"
tropical,k,point,,80,500,,,"Critical potassium deficiency","Luxury consumption, Mg antagonism"
tropical,k,contextual,monsoon_leaching,100,400,"6,7,8,9",,"Potassium low due to monsoon leaching","Potassium high despite monsoon leaching"
tropical,co2_flux,point,,20,300,,,"Poor microbial activity","Excessive decomposition"
tropical,co2_flux,contextual,monsoon,40,250,"6,7,8,9",,"Bio-activity too low for wet season","Bio-activity too high for wet season"
tropical,co2_flux,contextual,hot_dry_season,30,200,"3,4,5",,"Bio-activity low due to heat stress","Bio-activity high despite heat stress"
temperate,soil_moisture,point,,8,50,,,"Permanent wilting point risk","Anaerobic conditions"
temperate,soil_moisture,contextual,spring,12,45,"3,4,5",,"Abnormally dry for spring planting","Abnormally wet for spring planting"
